Date,Category,Type,Amount (USD),Description
2024-02-11,Miscellaneous,Expense,1789,Random miscellaneous transaction
2024-07-23,Groceries,Expense,3572,Random groceries transaction
2024-10-01,Miscellaneous,Expense,2988,Random miscellaneous transaction
2024-01-10,Miscellaneous,Expense,4502,Random miscellaneous transaction
2024-12-30,Dining Out,Expense,2138,Random dining out transaction
2024-06-05,Freelance Income,Income,3183,Random freelance income transaction
2024-10-14,Dining Out,Expense,1742,Random dining out transaction
2024-10-09,Entertainment,Expense,877,Random entertainment transaction
2024-04-02,Freelance Income,Income,6198,Random freelance income transaction
2024-02-07,Dining Out,Expense,2467,Random dining out transaction
2024-02-15,Transportation,Expense,4686,Random transportation transaction
2024-03-16,Entertainment,Expense,1474,Random entertainment transaction
2024-03-25,Rent,Expense,3273,Random rent transaction
2024-06-17,Entertainment,Expense,4207,Random entertainment transaction
2024-09-04,Loan Payment,Expense,4781,Random loan payment transaction
2024-05-30,Miscellaneous,Expense,2815,Random miscellaneous transaction
2024-03-18,Loan Payment,Expense,3305,Random loan payment transaction
2024-07-30,Savings,Goal,647,Random savings transaction
2024-10-06,Insurance,Expense,3368,Random insurance transaction
2024-02-21,Loan Payment,Expense,4175,Random loan payment transaction
2024-02-12,Dining Out,Expense,1822,Random dining out transaction
2024-09-22,Rent,Expense,3378,Random rent transaction
2024-06-02,Freelance Income,Income,758,Random freelance income transaction
2024-08-28,Salary,Income,1820,Random salary transaction
2024-05-09,Miscellaneous,Expense,3254,Random miscellaneous transaction
2024-09-12,Transportation,Expense,1361,Random transportation transaction
2024-08-15,Insurance,Expense,2338,Random insurance transaction
2024-10-17,Freelance Income,Income,586,Random freelance income transaction
2024-09-25,Entertainment,Expense,2575,Random entertainment transaction
2024-10-20,Entertainment,Expense,43,Random entertainment transaction
2024-06-29,Miscellaneous,Expense,1026,Random miscellaneous transaction
2024-04-07,Transportation,Expense,1621,Random transportation transaction
2024-03-17,Salary,Income,6580,Random salary transaction
2024-01-13,Entertainment,Expense,2878,Random entertainment transaction
2024-12-03,Dining Out,Expense,2590,Random dining out transaction
2024-08-13,Salary,Income,3759,Random salary transaction
2024-06-14,Groceries,Expense,1782,Random groceries transaction
2024-12-11,Salary,Income,1579,Random salary transaction
2024-02-06,Salary,Income,6110,Random salary transaction
2024-12-17,Miscellaneous,Expense,4799,Random miscellaneous transaction
2024-08-15,Transportation,Expense,3227,Random transportation transaction
2024-09-11,Groceries,Expense,2497,Random groceries transaction
2024-08-06,Dining Out,Expense,631,Random dining out transaction
2024-05-22,Loan Payment,Expense,761,Random loan payment transaction
2024-06-20,Loan Payment,Expense,3427,Random loan payment transaction
2024-06-21,Utilities,Expense,2784,Random utilities transaction
2024-02-25,Insurance,Expense,3978,Random insurance transaction
2024-08-10,Groceries,Expense,3938,Random groceries transaction
2024-12-17,Insurance,Expense,2884,Random insurance transaction
2024-03-17,Groceries,Expense,1517,Random groceries transaction
2024-11-24,Salary,Income,9012,Random salary transaction
2024-02-27,Savings,Goal,3452,Random savings transaction
2024-04-24,Entertainment,Expense,858,Random entertainment transaction
2024-08-31,Transportation,Expense,2227,Random transportation transaction
2024-10-14,Savings,Goal,1460,Random savings transaction
2024-03-07,Entertainment,Expense,4566,Random entertainment transaction
2024-04-16,Rent,Expense,1696,Random rent transaction
2024-02-06,Insurance,Expense,4019,Random insurance transaction
2024-08-19,Dining Out,Expense,1746,Random dining out transaction
2024-05-09,Salary,Income,5303,Random salary transaction
2024-07-19,Freelance Income,Income,9529,Random freelance income transaction
2024-08-10,Savings,Goal,521,Random savings transaction
2024-11-16,Utilities,Expense,4534,Random utilities transaction
2024-10-01,Groceries,Expense,1124,Random groceries transaction
2024-12-24,Utilities,Expense,1345,Random utilities transaction
2024-05-15,Transportation,Expense,4203,Random transportation transaction
2024-07-11,Rent,Expense,3393,Random rent transaction
2024-06-28,Freelance Income,Income,2612,Random freelance income transaction
2024-01-24,Salary,Income,3118,Random salary transaction
2024-08-12,Dining Out,Expense,3318,Random dining out transaction
2024-08-08,Insurance,Expense,79,Random insurance transaction
2024-11-01,Freelance Income,Income,9607,Random freelance income transaction
2024-06-02,Transportation,Expense,3465,Random transportation transaction
2024-05-19,Freelance Income,Income,689,Random freelance income transaction
2024-08-08,Insurance,Expense,3317,Random insurance transaction
2024-05-13,Insurance,Expense,1109,Random insurance transaction
2024-12-16,Salary,Income,9297,Random salary transaction
2024-09-28,Miscellaneous,Expense,4770,Random miscellaneous transaction
2024-08-15,Freelance Income,Income,2250,Random freelance income transaction
2024-04-12,Salary,Income,9592,Random salary transaction
2024-08-11,Miscellaneous,Expense,1919,Random miscellaneous transaction
2024-02-25,Dining Out,Expense,1304,Random dining out transaction
2024-09-30,Freelance Income,Income,1496,Random freelance income transaction
2024-09-28,Salary,Income,1778,Random salary transaction
2024-10-03,Salary,Income,1870,Random salary transaction
2024-08-14,Entertainment,Expense,1677,Random entertainment transaction
2024-12-22,Entertainment,Expense,4939,Random entertainment transaction
2024-06-06,Entertainment,Expense,739,Random entertainment transaction
2024-04-25,Savings,Goal,1628,Random savings transaction
2024-02-08,Entertainment,Expense,1966,Random entertainment transaction
2024-05-14,Loan Payment,Expense,2988,Random loan payment transaction
2024-10-08,Groceries,Expense,1320,Random groceries transaction
2024-01-05,Dining Out,Expense,3451,Random dining out transaction
2024-07-26,Entertainment,Expense,459,Random entertainment transaction
2024-02-07,Freelance Income,Income,5252,Random freelance income transaction
2024-12-14,Dining Out,Expense,4269,Random dining out transaction
2024-06-03,Transportation,Expense,2470,Random transportation transaction
2024-12-07,Savings,Goal,585,Random savings transaction
2024-04-15,Salary,Income,7032,Random salary transaction
2024-11-13,Transportation,Expense,4139,Random transportation transaction
2024-04-06,Entertainment,Expense,517,Random entertainment transaction
2024-09-06,Insurance,Expense,3520,Random insurance transaction
2024-07-02,Freelance Income,Income,3430,Random freelance income transaction
2024-11-15,Rent,Expense,1825,Random rent transaction
2024-01-23,Freelance Income,Income,7533,Random freelance income transaction
2024-10-15,Miscellaneous,Expense,2178,Random miscellaneous transaction
2024-04-24,Salary,Income,9515,Random salary transaction
2024-04-07,Insurance,Expense,2562,Random insurance transaction
2024-07-22,Utilities,Expense,641,Random utilities transaction
2024-11-01,Miscellaneous,Expense,4606,Random miscellaneous transaction
2024-10-03,Utilities,Expense,4221,Random utilities transaction
2024-12-27,Freelance Income,Income,4788,Random freelance income transaction
2024-12-22,Dining Out,Expense,3777,Random dining out transaction
2024-10-17,Freelance Income,Income,4389,Random freelance income transaction
2024-03-30,Loan Payment,Expense,2897,Random loan payment transaction
2024-08-07,Loan Payment,Expense,820,Random loan payment transaction
2024-05-27,Savings,Goal,2430,Random savings transaction
2024-03-18,Savings,Goal,2291,Random savings transaction
2024-02-12,Utilities,Expense,1648,Random utilities transaction
2024-06-16,Savings,Goal,6163,Random savings transaction
2024-05-25,Transportation,Expense,824,Random transportation transaction
2024-04-23,Freelance Income,Income,2240,Random freelance income transaction
2024-08-24,Miscellaneous,Expense,2901,Random miscellaneous transaction
2024-04-09,Entertainment,Expense,1128,Random entertainment transaction
2024-06-25,Insurance,Expense,1339,Random insurance transaction
2024-06-05,Insurance,Expense,4533,Random insurance transaction
2024-08-05,Groceries,Expense,1782,Random groceries transaction
2024-08-20,Savings,Goal,4392,Random savings transaction
2024-10-01,Salary,Income,8824,Random salary transaction
2024-02-06,Salary,Income,2932,Random salary transaction
2024-10-21,Loan Payment,Expense,198,Random loan payment transaction
2025-01-01,Utilities,Expense,3414,Random utilities transaction
2024-02-25,Miscellaneous,Expense,2564,Random miscellaneous transaction
2024-08-19,Miscellaneous,Expense,2509,Random miscellaneous transaction
2024-05-27,Loan Payment,Expense,493,Random loan payment transaction
2024-10-26,Miscellaneous,Expense,4000,Random miscellaneous transaction
2024-11-21,Loan Payment,Expense,421,Random loan payment transaction
2024-10-05,Insurance,Expense,3407,Random insurance transaction
2024-03-06,Freelance Income,Income,7227,Random freelance income transaction
2024-08-20,Utilities,Expense,362,Random utilities transaction
2024-10-08,Transportation,Expense,680,Random transportation transaction
2024-08-07,Utilities,Expense,4172,Random utilities transaction
2024-09-21,Insurance,Expense,4047,Random insurance transaction
2024-04-23,Salary,Income,5202,Random salary transaction
2024-07-13,Utilities,Expense,1553,Random utilities transaction
2024-02-15,Savings,Goal,6220,Random savings transaction
2024-08-06,Miscellaneous,Expense,1088,Random miscellaneous transaction
2024-02-14,Transportation,Expense,1572,Random transportation transaction
2024-05-09,Transportation,Expense,3392,Random transportation transaction
2024-10-28,Miscellaneous,Expense,3067,Random miscellaneous transaction
2024-06-18,Groceries,Expense,874,Random groceries transaction
2024-12-01,Insurance,Expense,4953,Random insurance transaction
2024-04-21,Insurance,Expense,3997,Random insurance transaction
2024-02-04,Entertainment,Expense,4216,Random entertainment transaction
2024-07-14,Rent,Expense,4910,Random rent transaction
2024-08-01,Groceries,Expense,3342,Random groceries transaction
2024-07-22,Insurance,Expense,306,Random insurance transaction
2024-07-24,Rent,Expense,822,Random rent transaction
2024-08-18,Insurance,Expense,771,Random insurance transaction
2024-05-29,Transportation,Expense,3402,Random transportation transaction
2024-06-15,Salary,Income,108,Random salary transaction
2024-05-09,Salary,Income,5928,Random salary transaction
2024-01-02,Entertainment,Expense,1315,Random entertainment transaction
2024-12-05,Salary,Income,9519,Random salary transaction
2024-06-08,Dining Out,Expense,3204,Random dining out transaction
2024-08-26,Groceries,Expense,205,Random groceries transaction
2024-11-06,Entertainment,Expense,4627,Random entertainment transaction
2024-10-19,Utilities,Expense,2411,Random utilities transaction
2024-01-20,Insurance,Expense,3850,Random insurance transaction
2024-04-12,Rent,Expense,22,Random rent transaction
2024-06-10,Rent,Expense,1123,Random rent transaction
2024-05-27,Miscellaneous,Expense,4937,Random miscellaneous transaction
2024-02-02,Miscellaneous,Expense,3307,Random miscellaneous transaction
2024-01-23,Freelance Income,Income,1033,Random freelance income transaction
2024-06-12,Insurance,Expense,4061,Random insurance transaction
2024-11-30,Rent,Expense,2248,Random rent transaction
2024-10-11,Miscellaneous,Expense,153,Random miscellaneous transaction
2024-08-27,Salary,Income,8792,Random salary transaction
2024-07-28,Utilities,Expense,162,Random utilities transaction
2024-11-27,Miscellaneous,Expense,2436,Random miscellaneous transaction
2024-06-23,Utilities,Expense,4075,Random utilities transaction
2024-11-14,Savings,Goal,9704,Random savings transaction
2024-04-21,Utilities,Expense,4284,Random utilities transaction
2024-12-10,Insurance,Expense,540,Random insurance transaction
2024-02-02,Transportation,Expense,2154,Random transportation transaction
2024-05-10,Rent,Expense,982,Random rent transaction
2024-02-08,Loan Payment,Expense,1921,Random loan payment transaction
2024-11-13,Miscellaneous,Expense,4175,Random miscellaneous transaction
2024-08-21,Miscellaneous,Expense,4346,Random miscellaneous transaction
2024-05-13,Entertainment,Expense,367,Random entertainment transaction
2024-08-26,Utilities,Expense,1321,Random utilities transaction
2024-10-24,Utilities,Expense,644,Random utilities transaction
2024-11-25,Savings,Goal,9156,Random savings transaction
2024-04-14,Freelance Income,Income,1138,Random freelance income transaction
2024-06-29,Savings,Goal,9559,Random savings transaction
2024-09-11,Transportation,Expense,2429,Random transportation transaction
2024-09-24,Miscellaneous,Expense,3538,Random miscellaneous transaction
2024-11-06,Dining Out,Expense,1056,Random dining out transaction
2024-08-16,Freelance Income,Income,4212,Random freelance income transaction
2024-04-25,Groceries,Expense,4548,Random groceries transaction
2024-12-05,Dining Out,Expense,2494,Random dining out transaction
2024-03-11,Rent,Expense,1689,Random rent transaction
2024-03-02,Loan Payment,Expense,931,Random loan payment transaction
2024-07-18,Insurance,Expense,270,Random insurance transaction
2024-04-19,Entertainment,Expense,4706,Random entertainment transaction
2024-10-19,Transportation,Expense,1010,Random transportation transaction
2024-08-11,Freelance Income,Income,6423,Random freelance income transaction
2024-10-29,Entertainment,Expense,2492,Random entertainment transaction
2024-06-14,Transportation,Expense,1323,Random transportation transaction
2024-06-02,Rent,Expense,1636,Random rent transaction
2024-08-29,Miscellaneous,Expense,582,Random miscellaneous transaction
2024-09-18,Freelance Income,Income,1613,Random freelance income transaction
2024-02-06,Savings,Goal,235,Random savings transaction
2024-07-02,Miscellaneous,Expense,3018,Random miscellaneous transaction
2024-04-24,Transportation,Expense,4338,Random transportation transaction
2024-01-22,Salary,Income,3101,Random salary transaction
2024-08-15,Groceries,Expense,2396,Random groceries transaction
2024-12-29,Transportation,Expense,4211,Random transportation transaction
2024-08-08,Groceries,Expense,88,Random groceries transaction
2024-12-12,Utilities,Expense,2767,Random utilities transaction
2024-03-19,Loan Payment,Expense,3357,Random loan payment transaction
2024-02-15,Utilities,Expense,4231,Random utilities transaction
2024-07-30,Transportation,Expense,2108,Random transportation transaction
2024-08-26,Salary,Income,6828,Random salary transaction
2024-02-07,Freelance Income,Income,742,Random freelance income transaction
2024-10-18,Utilities,Expense,3859,Random utilities transaction
2024-11-01,Insurance,Expense,857,Random insurance transaction
2024-11-24,Miscellaneous,Expense,94,Random miscellaneous transaction
2024-11-05,Groceries,Expense,2315,Random groceries transaction
2024-04-08,Loan Payment,Expense,3420,Random loan payment transaction
2024-01-17,Rent,Expense,174,Random rent transaction
2024-09-17,Loan Payment,Expense,1407,Random loan payment transaction
2024-05-05,Miscellaneous,Expense,810,Random miscellaneous transaction
2024-03-24,Rent,Expense,1674,Random rent transaction
2024-07-30,Loan Payment,Expense,2258,Random loan payment transaction
2024-01-05,Groceries,Expense,2884,Random groceries transaction
2024-03-23,Rent,Expense,1449,Random rent transaction
2024-12-01,Insurance,Expense,3610,Random insurance transaction
2024-01-13,Savings,Goal,2952,Random savings transaction
2024-02-19,Utilities,Expense,95,Random utilities transaction
2024-11-05,Transportation,Expense,2210,Random transportation transaction
2024-01-28,Transportation,Expense,817,Random transportation transaction
2024-12-25,Entertainment,Expense,194,Random entertainment transaction
2024-08-08,Entertainment,Expense,1534,Random entertainment transaction
2024-06-10,Groceries,Expense,1839,Random groceries transaction
2024-09-02,Miscellaneous,Expense,4842,Random miscellaneous transaction
2024-05-05,Miscellaneous,Expense,841,Random miscellaneous transaction
2024-02-24,Utilities,Expense,3444,Random utilities transaction
2025-01-01,Insurance,Expense,623,Random insurance transaction
2024-11-03,Savings,Goal,9066,Random savings transaction
2024-10-27,Freelance Income,Income,3753,Random freelance income transaction
2024-04-21,Freelance Income,Income,6609,Random freelance income transaction
2024-08-05,Savings,Goal,9498,Random savings transaction
2024-04-12,Loan Payment,Expense,3573,Random loan payment transaction
2024-09-30,Groceries,Expense,2804,Random groceries transaction
2024-11-13,Groceries,Expense,1769,Random groceries transaction
2024-07-02,Dining Out,Expense,1600,Random dining out transaction
2024-04-20,Transportation,Expense,1935,Random transportation transaction
2024-02-05,Salary,Income,7628,Random salary transaction
2024-01-04,Loan Payment,Expense,2161,Random loan payment transaction
2024-08-15,Savings,Goal,8836,Random savings transaction
2024-08-14,Salary,Income,1948,Random salary transaction
2024-10-30,Rent,Expense,3047,Random rent transaction
2024-07-21,Freelance Income,Income,7785,Random freelance income transaction
2024-08-05,Rent,Expense,546,Random rent transaction
2024-02-24,Savings,Goal,7139,Random savings transaction
2024-05-11,Entertainment,Expense,4343,Random entertainment transaction
2024-05-26,Groceries,Expense,316,Random groceries transaction
2024-10-12,Freelance Income,Income,7253,Random freelance income transaction
2024-02-01,Insurance,Expense,1706,Random insurance transaction
2024-12-25,Loan Payment,Expense,3279,Random loan payment transaction
2024-05-08,Utilities,Expense,1909,Random utilities transaction
2024-10-25,Rent,Expense,4215,Random rent transaction
2024-03-28,Miscellaneous,Expense,4976,Random miscellaneous transaction
2024-03-07,Transportation,Expense,321,Random transportation transaction
2024-09-06,Salary,Income,859,Random salary transaction
2024-08-15,Miscellaneous,Expense,1215,Random miscellaneous transaction
2024-07-19,Loan Payment,Expense,1016,Random loan payment transaction
2024-08-22,Entertainment,Expense,4771,Random entertainment transaction
2024-10-15,Freelance Income,Income,2822,Random freelance income transaction
2024-12-31,Savings,Goal,459,Random savings transaction
2024-09-14,Savings,Goal,6873,Random savings transaction
2024-05-29,Entertainment,Expense,429,Random entertainment transaction
2024-09-20,Dining Out,Expense,3242,Random dining out transaction
2024-05-22,Rent,Expense,3423,Random rent transaction
2024-11-11,Loan Payment,Expense,1871,Random loan payment transaction
2024-12-25,Salary,Income,5061,Random salary transaction
2024-03-05,Utilities,Expense,323,Random utilities transaction
2024-03-09,Transportation,Expense,4530,Random transportation transaction
2024-02-14,Groceries,Expense,931,Random groceries transaction
2024-11-12,Transportation,Expense,279,Random transportation transaction
2024-09-07,Dining Out,Expense,135,Random dining out transaction
2024-12-02,Insurance,Expense,4188,Random insurance transaction
2024-11-10,Loan Payment,Expense,2805,Random loan payment transaction
2024-07-11,Dining Out,Expense,1656,Random dining out transaction
2024-04-21,Salary,Income,7800,Random salary transaction
2024-05-02,Rent,Expense,4562,Random rent transaction
2024-11-26,Salary,Income,7231,Random salary transaction
2024-11-03,Miscellaneous,Expense,663,Random miscellaneous transaction
2024-02-10,Freelance Income,Income,1815,Random freelance income transaction
2024-11-30,Miscellaneous,Expense,3859,Random miscellaneous transaction
2024-07-10,Miscellaneous,Expense,3056,Random miscellaneous transaction
2024-11-16,Rent,Expense,3213,Random rent transaction
2024-08-25,Entertainment,Expense,3385,Random entertainment transaction
2024-04-21,Insurance,Expense,3622,Random insurance transaction
2024-12-24,Insurance,Expense,1903,Random insurance transaction
2024-11-15,Rent,Expense,4613,Random rent transaction
2024-12-31,Dining Out,Expense,2309,Random dining out transaction
2024-02-06,Freelance Income,Income,6833,Random freelance income transaction
2024-04-23,Salary,Income,4237,Random salary transaction
2025-01-01,Groceries,Expense,2511,Random groceries transaction
2024-12-31,Salary,Income,7876,Random salary transaction
2024-12-10,Rent,Expense,4689,Random rent transaction
2024-08-22,Transportation,Expense,280,Random transportation transaction
2024-02-10,Freelance Income,Income,2359,Random freelance income transaction
2024-05-23,Savings,Goal,9867,Random savings transaction
2024-10-24,Entertainment,Expense,3427,Random entertainment transaction
2024-01-29,Savings,Goal,7470,Random savings transaction
2024-02-25,Savings,Goal,9233,Random savings transaction
2024-09-27,Transportation,Expense,3440,Random transportation transaction
2024-02-28,Dining Out,Expense,440,Random dining out transaction
2024-07-25,Savings,Goal,5417,Random savings transaction
2024-05-12,Groceries,Expense,4440,Random groceries transaction
2024-05-21,Miscellaneous,Expense,2149,Random miscellaneous transaction
2024-06-07,Savings,Goal,1533,Random savings transaction
2024-05-20,Freelance Income,Income,3503,Random freelance income transaction
2024-07-11,Freelance Income,Income,4047,Random freelance income transaction
2024-12-22,Rent,Expense,696,Random rent transaction
2024-03-08,Savings,Goal,6005,Random savings transaction
2024-09-09,Freelance Income,Income,3357,Random freelance income transaction
2024-12-04,Groceries,Expense,2737,Random groceries transaction
2024-12-02,Rent,Expense,1938,Random rent transaction
2024-08-02,Miscellaneous,Expense,868,Random miscellaneous transaction
2024-06-17,Freelance Income,Income,5190,Random freelance income transaction
2024-08-03,Groceries,Expense,3452,Random groceries transaction
2024-06-11,Dining Out,Expense,3388,Random dining out transaction
2024-11-11,Salary,Income,1019,Random salary transaction
2024-06-30,Freelance Income,Income,1588,Random freelance income transaction
2024-08-23,Utilities,Expense,902,Random utilities transaction
2024-11-30,Dining Out,Expense,990,Random dining out transaction
2024-02-01,Miscellaneous,Expense,4491,Random miscellaneous transaction
2024-02-10,Rent,Expense,2768,Random rent transaction
2024-02-14,Transportation,Expense,2143,Random transportation transaction
2024-08-28,Savings,Goal,2091,Random savings transaction
2024-08-03,Utilities,Expense,3762,Random utilities transaction
2024-08-15,Dining Out,Expense,4308,Random dining out transaction
2024-12-17,Loan Payment,Expense,4205,Random loan payment transaction
2024-06-06,Entertainment,Expense,1581,Random entertainment transaction
2024-07-11,Miscellaneous,Expense,4229,Random miscellaneous transaction
2024-09-07,Insurance,Expense,2757,Random insurance transaction
2024-09-11,Groceries,Expense,4837,Random groceries transaction
2024-10-12,Freelance Income,Income,9163,Random freelance income transaction
2024-05-19,Savings,Goal,9179,Random savings transaction
2024-03-23,Loan Payment,Expense,264,Random loan payment transaction
2024-05-13,Rent,Expense,969,Random rent transaction
2024-12-28,Salary,Income,2622,Random salary transaction
2024-07-01,Groceries,Expense,3815,Random groceries transaction
2024-08-06,Groceries,Expense,4024,Random groceries transaction
2024-12-28,Loan Payment,Expense,749,Random loan payment transaction
2024-11-25,Insurance,Expense,3724,Random insurance transaction
2024-05-30,Salary,Income,6372,Random salary transaction
2024-10-15,Loan Payment,Expense,3712,Random loan payment transaction
2024-06-15,Utilities,Expense,516,Random utilities transaction
2024-03-28,Utilities,Expense,3719,Random utilities transaction
2024-12-24,Dining Out,Expense,851,Random dining out transaction
2024-09-27,Insurance,Expense,593,Random insurance transaction
2024-08-24,Dining Out,Expense,4104,Random dining out transaction
2024-09-11,Rent,Expense,1195,Random rent transaction
2024-10-30,Dining Out,Expense,3709,Random dining out transaction
2024-05-04,Salary,Income,2334,Random salary transaction
2024-11-10,Transportation,Expense,2511,Random transportation transaction
2024-07-24,Rent,Expense,2030,Random rent transaction
2024-03-20,Savings,Goal,3696,Random savings transaction
2024-10-12,Utilities,Expense,4538,Random utilities transaction
2024-03-07,Dining Out,Expense,3230,Random dining out transaction
2024-03-06,Salary,Income,1964,Random salary transaction
2024-01-19,Utilities,Expense,3453,Random utilities transaction
2024-07-15,Salary,Income,3589,Random salary transaction
2024-01-19,Dining Out,Expense,1448,Random dining out transaction
2024-11-09,Dining Out,Expense,699,Random dining out transaction
2024-12-16,Dining Out,Expense,2121,Random dining out transaction
2024-04-16,Salary,Income,7352,Random salary transaction
2024-06-19,Insurance,Expense,2882,Random insurance transaction
2024-06-06,Transportation,Expense,1471,Random transportation transaction
2024-04-27,Salary,Income,7486,Random salary transaction
2024-05-04,Rent,Expense,1518,Random rent transaction
2024-09-29,Insurance,Expense,1225,Random insurance transaction
2024-08-13,Entertainment,Expense,4874,Random entertainment transaction
2024-10-08,Miscellaneous,Expense,3023,Random miscellaneous transaction
2024-09-29,Transportation,Expense,1572,Random transportation transaction
2024-04-20,Rent,Expense,475,Random rent transaction
2024-06-22,Miscellaneous,Expense,2560,Random miscellaneous transaction
2024-03-05,Rent,Expense,3124,Random rent transaction
2024-10-27,Miscellaneous,Expense,3679,Random miscellaneous transaction
2024-12-19,Savings,Goal,6647,Random savings transaction
2024-05-17,Savings,Goal,8427,Random savings transaction
2024-12-27,Transportation,Expense,2186,Random transportation transaction
2024-01-04,Transportation,Expense,4528,Random transportation transaction
2024-04-14,Transportation,Expense,787,Random transportation transaction
2024-10-26,Groceries,Expense,314,Random groceries transaction
2024-04-12,Loan Payment,Expense,3240,Random loan payment transaction
2024-05-09,Insurance,Expense,3628,Random insurance transaction
2024-10-26,Miscellaneous,Expense,2388,Random miscellaneous transaction
2024-12-23,Savings,Goal,8261,Random savings transaction
2024-03-24,Miscellaneous,Expense,318,Random miscellaneous transaction
2024-12-31,Savings,Goal,1061,Random savings transaction
2024-01-13,Loan Payment,Expense,3725,Random loan payment transaction
2024-01-27,Savings,Goal,8647,Random savings transaction
2024-06-16,Groceries,Expense,2829,Random groceries transaction
2024-02-13,Utilities,Expense,1187,Random utilities transaction
2024-12-11,Transportation,Expense,2846,Random transportation transaction
2024-01-26,Insurance,Expense,411,Random insurance transaction
2024-03-26,Loan Payment,Expense,3502,Random loan payment transaction
2024-11-23,Entertainment,Expense,2091,Random entertainment transaction
2024-10-20,Savings,Goal,374,Random savings transaction
2024-06-28,Insurance,Expense,2501,Random insurance transaction
2024-06-26,Salary,Income,8654,Random salary transaction
2024-09-27,Dining Out,Expense,4976,Random dining out transaction
2024-09-04,Utilities,Expense,2229,Random utilities transaction
2024-06-12,Transportation,Expense,1142,Random transportation transaction
2024-07-25,Freelance Income,Income,1317,Random freelance income transaction
2024-10-14,Savings,Goal,8201,Random savings transaction
2024-03-22,Freelance Income,Income,921,Random freelance income transaction
2024-10-05,Utilities,Expense,4129,Random utilities transaction
2024-08-30,Transportation,Expense,1162,Random transportation transaction
2024-10-15,Rent,Expense,3077,Random rent transaction
2024-02-25,Groceries,Expense,3779,Random groceries transaction
2024-03-05,Dining Out,Expense,563,Random dining out transaction
2024-10-19,Salary,Income,3032,Random salary transaction
2024-06-06,Dining Out,Expense,67,Random dining out transaction
2024-04-20,Savings,Goal,3836,Random savings transaction
2024-01-07,Freelance Income,Income,1724,Random freelance income transaction
2024-10-03,Salary,Income,8895,Random salary transaction
2024-05-28,Freelance Income,Income,1488,Random freelance income transaction
2024-04-03,Dining Out,Expense,4457,Random dining out transaction
2024-08-24,Loan Payment,Expense,2064,Random loan payment transaction
2024-01-07,Entertainment,Expense,4353,Random entertainment transaction
2024-06-04,Loan Payment,Expense,282,Random loan payment transaction
2024-07-08,Miscellaneous,Expense,3644,Random miscellaneous transaction
2024-12-30,Freelance Income,Income,1113,Random freelance income transaction
2024-08-24,Groceries,Expense,4264,Random groceries transaction
2024-08-30,Savings,Goal,2028,Random savings transaction
2024-09-12,Savings,Goal,2675,Random savings transaction
2024-07-07,Utilities,Expense,4674,Random utilities transaction
2024-06-12,Dining Out,Expense,4507,Random dining out transaction
2024-05-29,Rent,Expense,1766,Random rent transaction
2024-07-01,Entertainment,Expense,4865,Random entertainment transaction
2024-02-09,Salary,Income,8988,Random salary transaction
2024-03-03,Savings,Goal,634,Random savings transaction
2024-04-22,Groceries,Expense,4427,Random groceries transaction
2024-06-23,Loan Payment,Expense,2837,Random loan payment transaction
2024-11-08,Entertainment,Expense,144,Random entertainment transaction
2024-08-11,Entertainment,Expense,3960,Random entertainment transaction
2024-11-08,Freelance Income,Income,8789,Random freelance income transaction
2024-10-04,Savings,Goal,9949,Random savings transaction
2024-05-12,Insurance,Expense,79,Random insurance transaction
2024-12-03,Savings,Goal,4464,Random savings transaction
2024-09-07,Miscellaneous,Expense,2963,Random miscellaneous transaction
2024-01-19,Utilities,Expense,1811,Random utilities transaction
2024-08-10,Utilities,Expense,2791,Random utilities transaction
2024-11-12,Groceries,Expense,2890,Random groceries transaction
2024-01-24,Salary,Income,1032,Random salary transaction
2024-08-09,Loan Payment,Expense,967,Random loan payment transaction
2024-10-22,Dining Out,Expense,3159,Random dining out transaction
2024-06-26,Transportation,Expense,2793,Random transportation transaction
2024-08-14,Groceries,Expense,4063,Random groceries transaction
2024-04-13,Utilities,Expense,4496,Random utilities transaction
2024-09-17,Savings,Goal,4160,Random savings transaction
2024-10-17,Entertainment,Expense,4962,Random entertainment transaction
2024-12-14,Utilities,Expense,3784,Random utilities transaction
2024-02-15,Salary,Income,8203,Random salary transaction
2024-09-19,Insurance,Expense,2286,Random insurance transaction
2024-05-04,Salary,Income,9863,Random salary transaction
2024-05-05,Utilities,Expense,1283,Random utilities transaction
2024-03-15,Groceries,Expense,4755,Random groceries transaction
2024-04-27,Insurance,Expense,4999,Random insurance transaction
2024-01-31,Freelance Income,Income,4265,Random freelance income transaction
2024-09-22,Insurance,Expense,3121,Random insurance transaction
2024-01-06,Rent,Expense,622,Random rent transaction
2024-12-28,Rent,Expense,2169,Random rent transaction
2024-11-29,Savings,Goal,6088,Random savings transaction
2024-10-27,Savings,Goal,7232,Random savings transaction
2024-09-21,Savings,Goal,1622,Random savings transaction
2024-10-11,Miscellaneous,Expense,4008,Random miscellaneous transaction
2024-03-10,Salary,Income,9418,Random salary transaction
2024-01-18,Miscellaneous,Expense,3117,Random miscellaneous transaction
2024-09-24,Dining Out,Expense,728,Random dining out transaction
2024-11-18,Groceries,Expense,4204,Random groceries transaction
2024-08-05,Salary,Income,3034,Random salary transaction
2024-01-24,Salary,Income,1161,Random salary transaction
2024-10-14,Utilities,Expense,2701,Random utilities transaction
2024-08-11,Loan Payment,Expense,920,Random loan payment transaction
